Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
58,x,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
59,x,y,n,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,e
60,s,f,g,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
61,b,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
62,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
63,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
64,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
65,f,s,n,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
66,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
67,f,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
68,x,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
69,x,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e
70,f,f,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
71,b,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
72,f,f,y,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
73,x,y,n,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
74,b,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
75,f,s,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
76,x,s,w,t,l,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
77,f,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
78,x,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
79,f,y,n,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e
80,x,s,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
81,x,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p
82,f,f,g,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
83,x,f,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
84,x,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
85,x,s,n,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
86,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
87,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
88,f,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
89,s,f,n,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e
90,x,f,n,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
91,b,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
92,x,y,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
93,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
94,x,s,n,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
95,x,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
96,f,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
97,x,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
98,b,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
99,x,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
100,x,f,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
101,b,s,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
102,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
103,x,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
104,b,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
105,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
106,x,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
107,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
108,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
109,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
110,x,s,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
111,s,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e
112,x,f,w,t,a,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
113,x,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
114,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
115,x,y,y,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
116,s,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e
117,x,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
118,x,s,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
119,s,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
120,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
121,x,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
122,f,y,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
123,f,s,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
124,x,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
125,x,s,w,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
126,b,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
127,f,f,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
128,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
129,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
130,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
131,b,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
132,f,s,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
133,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
134,f,s,w,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
135,x,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
136,f,f,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
137,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
138,x,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
139,b,s,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
140,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
141,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
142,s,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
143,f,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
144,x,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
145,x,f,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
146,f,f,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
147,x,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
148,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
149,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
150,x,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
151,x,s,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
152,x,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
153,s,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
154,x,s,w,t,a,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
155,x,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
156,b,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
157,x,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
158,b,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
159,b,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
160,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
161,b,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
162,x,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
163,f,y,n,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e
164,x,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
165,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e
166,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
167,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
168,x,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
169,b,s,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
170,x,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
171,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
172,x,f,y,t,l,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
173,b,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
174,f,y,y,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
175,b,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
176,b,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
177,b,y,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
178,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
179,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
180,x,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
181,s,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
182,f,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
183,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
184,f,y,n,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
185,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
186,b,s,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
187,f,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e
188,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
189,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e
190,x,f,w,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
191,x,s,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
192,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
193,f,s,y,t,a,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
194,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
195,f,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
196,b,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
197,x,s,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
198,x,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
199,f,s,w,t,a,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
200,x,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
201,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
202,x,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
203,x,f,w,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
204,f,y,n,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
205,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
206,b,s,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
207,b,s,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
208,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
209,b,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
210,x,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
211,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
212,x,f,y,t,a,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
213,x,f,g,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
214,f,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
215,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
216,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
217,x,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
218,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
219,s,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e
220,x,s,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
221,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
222,x,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
223,f,f,w,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
224,x,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
225,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
226,x,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
227,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
228,x,y,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
229,b,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
230,x,f,g,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e
231,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
232,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
233,f,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
234,b,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
235,x,f,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
236,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
237,b,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
238,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e
239,f,y,y,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
240,f,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
241,x,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
242,x,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
243,x,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
244,f,f,w,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
245,x,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
246,x,s,w,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
247,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
248,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
249,x,s,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
250,f,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
251,x,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p
252,s,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u,e
253,b,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
254,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
255,b,y,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
256,f,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
257,x,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
258,b,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
259,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
260,f,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
261,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
262,x,s,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
263,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
264,f,f,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
265,f,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
266,f,s,g,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
267,x,y,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
268,b,s,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
269,f,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p
270,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
271,f,s,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,p
272,x,y,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
