Id,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
54,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
55,b,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
56,f,f,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
57,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
58,x,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
59,x,y,n,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p
60,s,f,g,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
61,b,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
62,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
63,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
64,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
65,f,s,n,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
66,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
67,f,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
68,x,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
69,x,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
70,f,f,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
71,b,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
72,f,f,y,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
73,x,y,n,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
74,b,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
75,f,s,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
76,x,s,w,t,l,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
77,f,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
78,x,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
79,f,y,n,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
80,x,s,n,f,n,f,w,b,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
81,x,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
82,f,f,g,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
83,x,f,g,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g
84,x,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
85,x,s,n,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
86,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
87,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
88,f,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
89,s,f,n,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
90,x,f,n,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
91,b,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
92,x,y,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
93,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
94,x,s,n,f,n,f,w,b,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
95,x,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
96,f,y,n,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
97,x,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
98,b,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
99,x,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
100,x,f,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
101,b,s,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
102,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
103,x,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
104,b,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
105,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
106,x,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
107,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
108,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
109,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
110,x,s,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
111,s,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
112,x,f,w,t,a,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
113,x,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
114,x,y,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
115,x,y,y,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
116,s,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
117,x,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
118,x,s,y,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
119,s,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
120,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
121,x,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
122,f,y,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
123,f,s,g,f,n,f,w,b,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
124,x,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
125,x,s,w,f,n,f,w,b,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
126,b,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
127,f,f,g,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
128,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
129,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
130,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
131,b,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
132,f,s,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
133,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
134,f,s,w,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
135,x,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
136,f,f,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
137,x,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
138,x,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
139,b,s,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
140,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
141,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
142,s,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
143,f,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
144,x,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
145,x,f,g,f,n,f,w,b,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
146,f,f,w,f,n,f,w,b,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
147,x,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
148,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
149,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
150,x,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
151,x,s,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
152,x,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
153,s,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
154,x,s,w,t,a,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
155,x,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
156,b,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
157,x,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
158,b,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
159,b,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
160,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
161,b,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
162,x,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
163,f,y,n,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
164,x,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
165,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
166,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
167,b,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
168,x,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
169,b,s,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
170,x,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
171,b,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
172,x,f,y,t,l,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
173,b,y,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
174,f,y,y,t,l,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
175,b,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
176,b,y,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
177,b,y,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
178,x,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
179,b,s,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
180,x,y,w,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
181,s,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
182,f,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
183,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
184,f,y,n,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
185,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
186,b,s,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
187,f,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
188,b,y,y,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
189,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
190,x,f,w,f,n,f,w,b,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g
191,x,s,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
192,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
193,f,s,y,t,a,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
194,x,s,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
195,f,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
196,b,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
197,x,s,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
198,x,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
199,f,s,w,t,a,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
200,x,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
201,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
202,x,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
203,x,f,w,f,n,f,w,b,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
204,f,y,n,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
205,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
206,b,s,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
207,b,s,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
208,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
209,b,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
210,x,s,y,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
211,b,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
212,x,f,y,t,a,f,w,n,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
213,x,f,g,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
214,f,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
215,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
216,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
217,x,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
218,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
219,s,f,g,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
220,x,s,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
221,x,s,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
222,x,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
223,f,f,w,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
224,x,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
225,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
226,x,s,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
227,x,s,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
228,x,y,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
229,b,s,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
230,x,f,g,f,n,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u
231,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
232,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p
233,f,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
234,b,s,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
235,x,f,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
236,x,y,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
237,b,y,y,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
238,x,y,y,t,l,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g
239,f,y,y,t,a,f,c,b,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
240,f,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
241,x,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
242,x,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
243,x,s,w,t,p,f,c,n,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
244,f,f,w,t,a,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
245,x,s,w,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
246,x,s,w,t,l,f,w,n,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
247,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
248,f,y,y,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
249,x,s,n,f,n,f,w,b,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
250,f,y,y,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
251,x,s,n,t,p,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
252,s,f,n,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u
253,b,y,y,t,l,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
254,b,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
255,b,y,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
256,f,f,n,f,n,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
257,x,s,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
258,b,y,w,t,l,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
259,b,y,w,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
260,f,y,n,t,l,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
261,x,y,w,t,p,f,c,n,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
262,x,s,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
263,x,y,w,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
264,f,f,w,t,l,f,w,n,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
265,f,f,g,f,n,f,c,n,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
266,f,s,g,f,n,f,w,b,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g
267,x,y,y,t,a,f,c,b,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
268,b,s,w,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
269,f,y,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
270,x,s,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
271,f,s,n,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
272,x,y,w,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
273,x,y,y,t,a,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
274,f,y,y,t,a,f,c,b,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
275,x,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
276,f,y,n,t,a,f,c,b,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
277,x,y,w,t,a,f,c,b,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
278,f,f,n,f,n,f,w,b,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
279,x,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
280,x,y,w,t,p,f,c,n,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
281,b,y,y,t,a,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
282,s,f,n,f,n,f,c,n,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
283,x,s,y,t,l,f,c,b,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
284,b,y,w,t,l,f,c,b,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
