Id,target
964,1
965,1
966,2
967,1
968,1
969,1
970,1
971,1
972,2
973,2
974,1
975,1
976,1
977,1
978,2
979,2
980,2
981,2
982,1
983,2
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,2
999,1
