attribute,fp_len,gamma,xi,p-value
checking_account,32,10.0,2,0.0
credit_hist,32,10.0,2,0.0
purpose,32,10.0,2,0.0
savings,32,10.0,2,0.0
employment_since,32,10.0,2,0.0
sex_status,32,10.0,2,0.0
debtors,32,10.0,2,0.0
property,32,10.0,2,0.0
installment_other,32,10.0,2,0.0
housing,32,10.0,2,0.0
job,32,10.0,2,0.0
tel,32,10.0,2,1.1370499116882819e-217
foreign,32,10.0,2,1.2377656133906242e-207
checking_account,32,10.0,4,0.0
credit_hist,32,10.0,4,0.0
purpose,32,10.0,4,0.0
savings,32,10.0,4,0.0
employment_since,32,10.0,4,0.0
sex_status,32,10.0,4,0.0
debtors,32,10.0,4,0.0
property,32,10.0,4,0.0
installment_other,32,10.0,4,0.0
housing,32,10.0,4,0.0
job,32,10.0,4,0.0
tel,32,10.0,4,1.1370499116882819e-217
foreign,32,10.0,4,1.2377656133906242e-207
checking_account,32,1.0,1,0.0
credit_hist,32,1.0,1,0.0
purpose,32,1.0,1,0.0
savings,32,1.0,1,0.0
employment_since,32,1.0,1,0.0
sex_status,32,1.0,1,0.0
debtors,32,1.0,1,3.9463595844021254e-280
property,32,1.0,1,0.0
installment_other,32,1.0,1,0.0
housing,32,1.0,1,0.0
job,32,1.0,1,0.0
tel,32,1.0,1,2.337676797922224e-192
foreign,32,1.0,1,3.7605746148718205e-121
checking_account,32,1.0,2,0.0
credit_hist,32,1.0,2,0.0
purpose,32,1.0,2,0.0
savings,32,1.0,2,0.0
employment_since,32,1.0,2,0.0
sex_status,32,1.0,2,0.0
debtors,32,1.0,2,3.9463595844021254e-280
property,32,1.0,2,0.0
installment_other,32,1.0,2,0.0
housing,32,1.0,2,0.0
job,32,1.0,2,0.0
tel,32,1.0,2,2.337676797922224e-192
foreign,32,1.0,2,3.7605746148718205e-121
checking_account,32,1.0,4,0.0
credit_hist,32,1.0,4,0.0
purpose,32,1.0,4,0.0
savings,32,1.0,4,0.0
employment_since,32,1.0,4,0.0
sex_status,32,1.0,4,0.0
debtors,32,1.0,4,3.9463595844021254e-280
property,32,1.0,4,0.0
installment_other,32,1.0,4,0.0
housing,32,1.0,4,0.0
job,32,1.0,4,0.0
tel,32,1.0,4,2.337676797922224e-192
foreign,32,1.0,4,3.7605746148718205e-121
checking_account,32,2.5,1,0.0
credit_hist,32,2.5,1,0.0
purpose,32,2.5,1,0.0
savings,32,2.5,1,0.0
employment_since,32,2.5,1,0.0
sex_status,32,2.5,1,0.0
debtors,32,2.5,1,0.0
property,32,2.5,1,0.0
installment_other,32,2.5,1,0.0
housing,32,2.5,1,0.0
job,32,2.5,1,0.0
tel,32,2.5,1,1.162919783225192e-202
foreign,32,2.5,1,1.1346830776144148e-166
checking_account,32,2.5,2,0.0
credit_hist,32,2.5,2,0.0
purpose,32,2.5,2,0.0
savings,32,2.5,2,0.0
employment_since,32,2.5,2,0.0
sex_status,32,2.5,2,0.0
debtors,32,2.5,2,0.0
property,32,2.5,2,0.0
installment_other,32,2.5,2,0.0
housing,32,2.5,2,0.0
job,32,2.5,2,0.0
tel,32,2.5,2,1.162919783225192e-202
foreign,32,2.5,2,1.1346830776144148e-166
checking_account,32,2.5,4,0.0
credit_hist,32,2.5,4,0.0
purpose,32,2.5,4,0.0
savings,32,2.5,4,0.0
employment_since,32,2.5,4,0.0
sex_status,32,2.5,4,0.0
debtors,32,2.5,4,0.0
property,32,2.5,4,0.0
installment_other,32,2.5,4,0.0
housing,32,2.5,4,0.0
job,32,2.5,4,0.0
tel,32,2.5,4,1.162919783225192e-202
foreign,32,2.5,4,1.1346830776144148e-166
checking_account,32,2.0,1,0.0
credit_hist,32,2.0,1,0.0
purpose,32,2.0,1,0.0
savings,32,2.0,1,0.0
employment_since,32,2.0,1,0.0
sex_status,32,2.0,1,0.0
debtors,32,2.0,1,0.0
property,32,2.0,1,0.0
installment_other,32,2.0,1,0.0
housing,32,2.0,1,0.0
job,32,2.0,1,0.0
tel,32,2.0,1,3.2793799364648922e-199
foreign,32,2.0,1,5.3584905104365604e-139
checking_account,32,2.0,2,0.0
credit_hist,32,2.0,2,0.0
purpose,32,2.0,2,0.0
savings,32,2.0,2,0.0
employment_since,32,2.0,2,0.0
sex_status,32,2.0,2,0.0
debtors,32,2.0,2,0.0
property,32,2.0,2,0.0
installment_other,32,2.0,2,0.0
housing,32,2.0,2,0.0
job,32,2.0,2,0.0
tel,32,2.0,2,3.2793799364648922e-199
foreign,32,2.0,2,5.3584905104365604e-139
checking_account,32,2.0,4,0.0
credit_hist,32,2.0,4,0.0
purpose,32,2.0,4,0.0
savings,32,2.0,4,0.0
employment_since,32,2.0,4,0.0
sex_status,32,2.0,4,0.0
debtors,32,2.0,4,0.0
property,32,2.0,4,0.0
installment_other,32,2.0,4,0.0
housing,32,2.0,4,0.0
job,32,2.0,4,0.0
tel,32,2.0,4,3.2793799364648922e-199
foreign,32,2.0,4,5.3584905104365604e-139
checking_account,32,3.33,1,0.0
credit_hist,32,3.33,1,0.0
purpose,32,3.33,1,0.0
savings,32,3.33,1,0.0
employment_since,32,3.33,1,0.0
sex_status,32,3.33,1,0.0
debtors,32,3.33,1,0.0
property,32,3.33,1,0.0
installment_other,32,3.33,1,0.0
housing,32,3.33,1,0.0
job,32,3.33,1,0.0
tel,32,3.33,1,3.905244061249851e-206
foreign,32,3.33,1,1.82637168031738e-178
checking_account,32,3.33,2,0.0
credit_hist,32,3.33,2,0.0
purpose,32,3.33,2,0.0
savings,32,3.33,2,0.0
employment_since,32,3.33,2,0.0
sex_status,32,3.33,2,0.0
debtors,32,3.33,2,0.0
property,32,3.33,2,0.0
installment_other,32,3.33,2,0.0
housing,32,3.33,2,0.0
job,32,3.33,2,0.0
tel,32,3.33,2,3.905244061249851e-206
foreign,32,3.33,2,1.82637168031738e-178
checking_account,32,3.33,4,0.0
credit_hist,32,3.33,4,0.0
purpose,32,3.33,4,0.0
savings,32,3.33,4,0.0
employment_since,32,3.33,4,0.0
sex_status,32,3.33,4,0.0
debtors,32,3.33,4,0.0
property,32,3.33,4,0.0
installment_other,32,3.33,4,0.0
housing,32,3.33,4,0.0
job,32,3.33,4,0.0
tel,32,3.33,4,3.905244061249851e-206
foreign,32,3.33,4,1.82637168031738e-178
checking_account,32,5.0,1,0.0
credit_hist,32,5.0,1,0.0
purpose,32,5.0,1,0.0
savings,32,5.0,1,0.0
employment_since,32,5.0,1,0.0
sex_status,32,5.0,1,0.0
debtors,32,5.0,1,0.0
property,32,5.0,1,0.0
installment_other,32,5.0,1,0.0
housing,32,5.0,1,0.0
job,32,5.0,1,0.0
tel,32,5.0,1,5.461683271870127e-215
foreign,32,5.0,1,2.790886174612834e-181
checking_account,32,5.0,2,0.0
credit_hist,32,5.0,2,0.0
purpose,32,5.0,2,0.0
savings,32,5.0,2,0.0
employment_since,32,5.0,2,0.0
sex_status,32,5.0,2,0.0
debtors,32,5.0,2,0.0
property,32,5.0,2,0.0
installment_other,32,5.0,2,0.0
housing,32,5.0,2,0.0
job,32,5.0,2,0.0
tel,32,5.0,2,5.461683271870127e-215
foreign,32,5.0,2,2.790886174612834e-181
checking_account,32,5.0,4,0.0
credit_hist,32,5.0,4,0.0
purpose,32,5.0,4,0.0
savings,32,5.0,4,0.0
employment_since,32,5.0,4,0.0
sex_status,32,5.0,4,0.0
debtors,32,5.0,4,0.0
property,32,5.0,4,0.0
installment_other,32,5.0,4,0.0
housing,32,5.0,4,0.0
job,32,5.0,4,0.0
tel,32,5.0,4,5.461683271870127e-215
foreign,32,5.0,4,2.790886174612834e-181
